epochs,walk_length,window,n_walks,d,neg_samples,mean_auc,std_auc,min_auc,max_auc,n_windows,time_seconds,error,auc_2000_2005,auc_2005_2010,auc_2010_2015,auc_2015_2020
5,30,10,20,64,5,0.69990991214101,0.008979221460623592,0.6852788968317582,0.7078821990359241,4,968.8037645816803,,0.7066091704706522,0.6852788968317582,0.6998693822257049,0.7078821990359241
5,30,7,15,32,5,0.6983318140331893,0.008996714471889343,0.6835656820886062,0.7065253625852146,4,536.8219721317291,,0.7045328242793043,0.6835656820886062,0.6987033871796321,0.7065253625852146
5,40,7,20,64,5,0.6992150619701389,0.00894535127056176,0.684610883750717,0.7071645412718268,4,992.6417262554169,,0.7058179637442282,0.684610883750717,0.6992668591137834,0.7071645412718268
5,40,5,15,32,5,0.6994463565589883,0.00907277844692562,0.6845720838085343,0.7075738408029288,4,549.868590593338,,0.7059182720258065,0.6845720838085343,0.6997212295986838,0.7075738408029288
5,20,3,20,64,15,0.6981109429294455,0.009028098009248657,0.6832610551018677,0.7059871442359361,4,436.51307797431946,,0.7046926486505191,0.6832610551018677,0.6985029237294592,0.7059871442359361
5,30,3,30,32,10,0.7012626119440346,0.009129957298118968,0.6863379404849751,0.7092794901655485,4,762.1783058643341,,0.7080742997099839,0.6863379404849751,0.7013587174156307,0.7092794901655485
5,20,3,20,128,5,0.6985758312632161,0.00887518311133764,0.684006228615284,0.7064775186932257,4,215.9433307647705,,0.7049210152670362,0.684006228615284,0.6988985624773183,0.7064775186932257
5,20,5,30,32,10,0.6992203955112166,0.009032816509691307,0.6844432019622074,0.7075143032122301,4,773.6833527088165,,0.7054783478158805,0.6844432019622074,0.6994457290545484,0.7075143032122301
5,20,10,15,32,15,0.6973256800231592,0.0089819154411855,0.6825653853016284,0.7054817291782932,4,879.6717784404755,,0.7035004106922669,0.6825653853016284,0.6977551949204487,0.7054817291782932
5,20,3,20,128,10,0.6984187405773102,0.008991832295760057,0.6837178336643838,0.7067153621112762,4,332.7865524291992,,0.7046170611313635,0.6837178336643838,0.6986247054022175,0.7067153621112762
5,30,7,15,32,10,0.6982547770096239,0.008962445108251248,0.683558864610127,0.7064364847357055,4,824.8531382083893,,0.7044422441223778,0.683558864610127,0.6985815145702854,0.7064364847357055
5,20,10,15,64,5,0.6975796394740135,0.00893613645940553,0.6829163505184176,0.7058176948573982,4,430.87274646759033,,0.7036117177832399,0.6829163505184176,0.697972794736998,0.7058176948573982
5,40,5,15,32,10,0.6991671707860759,0.009033659113482256,0.6843886422599194,0.7072910969411623,4,835.8531694412231,,0.7056474895725893,0.6843886422599194,0.6993414543706328,0.7072910969411623
5,20,3,20,128,15,0.698577336949737,0.009021250396811032,0.683844537687565,0.7069637287935893,4,437.80313372612,,0.7047510780332779,0.683844537687565,0.6987500032845158,0.7069637287935893
5,30,10,20,64,10,0.6981151825378271,0.008907243410333873,0.6836028427229757,0.7060947561013708,4,1475.6695137023926,,0.7046782171524091,0.6836028427229757,0.6980849141745527,0.7060947561013708
5,30,3,30,32,15,0.700893723795863,0.009171952956305343,0.6859203517720882,0.7091503290387773,4,1012.4980130195618,,0.707536007781378,0.6859203517720882,0.7009682065912085,0.7091503290387773
5,20,5,30,32,15,0.6987636324211253,0.008994337108994253,0.6840203812605885,0.7068980642176428,4,1033.1626982688904,,0.7050864620534518,0.6840203812605885,0.6990496221528183,0.7068980642176428
5,20,3,30,32,5,0.7000569053622467,0.009019140568157575,0.6853003355369944,0.708186545242012,4,323.4005150794983,,0.7064987955394126,0.6853003355369944,0.7002419451305678,0.708186545242012
5,20,10,15,64,10,0.6974354912627965,0.009001545993264038,0.682668721793478,0.7057639312403754,4,662.6802999973297,,0.703479977648158,0.682668721793478,0.6978293343691743,0.7057639312403754
5,40,7,20,64,10,0.698747352100572,0.009038494246998045,0.6839718968597779,0.7069564932716361,4,1515.0469012260437,,0.7051542245867649,0.6839718968597779,0.6989067936841095,0.7069564932716361
5,30,3,30,64,5,0.7019780650521337,0.00913385740677573,0.6870959246932473,0.7100673596725058,4,503.36144757270813,,0.7088185580991635,0.6870959246932473,0.7019304177436182,0.7100673596725058
5,30,7,15,32,15,0.6981972832074035,0.008984465420778617,0.6834827616686363,0.7063666977215395,4,1097.9367897510529,,0.7044870195935361,0.6834827616686363,0.698452653845902,0.7063666977215395
5,20,5,30,64,5,0.6994953330201106,0.009019506568008984,0.6847207362961115,0.7076487058948755,4,509.6206612586975,,0.7058653153618919,0.6847207362961115,0.699746574527563,0.7076487058948755
5,20,3,30,32,10,0.6995997913594632,0.009167583698518935,0.6846344877417163,0.7079623315608897,4,494.8121688365936,,0.7061017769262435,0.6846344877417163,0.6997005692090029,0.7079623315608897
5,40,5,15,32,15,0.6989917344363226,0.009019279529694125,0.6842222748241706,0.7071393035856258,4,1128.3806056976318,,0.7053804285212427,0.6842222748241706,0.6992249308142512,0.7071393035856258
5,20,10,15,64,15,0.6974688570596711,0.008898523668146939,0.6828606176312064,0.7056179541661073,4,885.9866230487823,,0.7035326998442862,0.6828606176312064,0.6978641565970846,0.7056179541661073
5,30,7,15,64,5,0.6984924683006146,0.008919954367471698,0.6838798250516327,0.706735624045414,4,543.0884585380554,,0.7045493365958886,0.6838798250516327,0.698805087509523,0.706735624045414
5,40,5,15,64,5,0.6995416318290597,0.009080113857800057,0.6846779634582214,0.7078446687822588,4,553.8300325870514,,0.7058554165338429,0.6846779634582214,0.6997884785419157,0.7078446687822588
5,30,3,30,64,10,0.7010576320381332,0.009091428978675575,0.6862140443077178,0.7091665530688629,4,767.3222286701202,,0.7077303971847412,0.6862140443077178,0.701119533591211,0.7091665530688629
5,20,3,30,32,15,0.6997064685415041,0.009103505987470933,0.6848317947986838,0.7080308580810146,4,652.2741494178772,,0.7061033724312166,0.6848317947986838,0.6998598488551012,0.7080308580810146
5,20,5,30,64,10,0.6989179480294269,0.008994210776609078,0.6841879729318343,0.7070243995828687,4,777.1283617019653,,0.7053087563050751,0.6841879729318343,0.6991506632979295,0.7070243995828687
5,20,10,15,128,5,0.6974336125213626,0.00897662931131436,0.6827185713401821,0.7058212699705066,4,436.64086866378784,,0.7033736660602139,0.6827185713401821,0.697820942714548,0.7058212699705066
5,20,3,30,64,5,0.6999221719005726,0.009075800584791223,0.6850833420091506,0.7081002158294797,4,325.3789904117584,,0.7064326839952183,0.6850833420091506,0.7000724457684417,0.7081002158294797
5,30,7,15,64,10,0.6982455643288152,0.00903803726529283,0.6834185842493301,0.7065310426428402,4,829.7022049427032,,0.7044197923159756,0.6834185842493301,0.6986128381071152,0.7065310426428402
5,30,10,20,64,15,0.6977489894435269,0.008699796687972442,0.6834752483139406,0.7054549677706119,4,1986.348701953888,,0.7040375594909868,0.6834752483139406,0.6980281821985681,0.7054549677706119
5,20,3,30,64,10,0.6996571074664782,0.009085988152072006,0.6847574997889391,0.7077131511501215,4,492.49059224128723,,0.7062336786760159,0.6847574997889391,0.6999241002508366,0.7077131511501215
5,40,5,15,64,10,0.6991563354015975,0.009027752067841847,0.6843619297832574,0.7073302190038239,4,847.1527760028839,,0.7054996446262221,0.6843619297832574,0.6994335481930868,0.7073302190038239
5,20,10,15,128,10,0.697350605521471,0.008945817065479963,0.6826624969959427,0.7056106697092903,4,668.2039892673492,,0.7033468482448253,0.6826624969959427,0.6977824071358256,0.7056106697092903
5,40,7,20,64,15,0.6978127012866893,0.008952130086106526,0.6831940119896183,0.7058203809925453,4,2024.2182004451752,,0.7043493666610091,0.6831940119896183,0.6978870455035846,0.7058203809925453
